timestamp,ax,ay,az
1479425729933172341,0.07,0.46,9.42
1479425729942465993,0.04,0.48,9.61
1479425729953389055,0.04,0.5,9.71
1479425729962465565,0.05,0.54,9.52
1479425729972647949,0.05,0.56,9.52
1479425729982605142,0.03,0.56,9.61
1479425729992637408,0.0,0.55,9.61
1479425730002565243,0.0,0.53,9.42
1479425730012696148,0.01,0.52,9.22
1479425730022802600,0.0,0.5,9.61
1479425730032812301,0.03,0.5,9.61
1479425730042737869,0.07,0.53,9.61
1479425730053643193,0.11,0.56,9.61
1479425730062937237,0.11,0.59,9.52
1479425730072965397,0.07,0.6,9.61
1479425730083391198,0.03,0.57,9.81
1479425730093190610,0.0,0.55,9.81
1479425730102753790,-0.02,0.54,10.01
1479425730112948216,-0.02,0.51,9.91
1479425730122862724,-0.02,0.48,10.1
1479425730133379799,-0.01,0.5,9.71
1479425730142985553,0.01,0.54,10.2
1479425730153691729,0.06,0.58,10.1
1479425730163299135,0.08,0.59,10.3
1479425730173115675,0.06,0.58,10.3
1479425730183582609,0.06,0.56,10.4
1479425730193049921,0.04,0.53,10.2
1479425730203448564,-0.01,0.49,10.4
1479425730213172712,-0.05,0.46,10.3
1479425730223148112,-0.03,0.46,10.69
1479425730233980172,0.01,0.47,10.5
1479425730243360790,0.07,0.5,10.79
1479425730253920097,0.08,0.52,10.3
1479425730263431676,0.04,0.52,10.59
1479425730273680943,0.0,0.53,10.59
1479425730284035193,-0.02,0.51,10.79
1479425730293233070,-0.04,0.47,10.99
1479425730303373810,-0.08,0.44,10.69
1479425730313590629,-0.1,0.46,10.3
1479425730323340723,-0.09,0.51,10.4
1479425730334273916,-0.04,0.57,10.79
1479425730343568068,0.03,0.58,10.69
1479425730354410739,0.05,0.55,10.59
1479425730363467178,0.02,0.54,10.4
1479425730373434416,0.0,0.53,10.4
1479425730383784903,-0.06,0.51,10.4
1479425730393561660,-0.11,0.47,10.4
1479425730403805444,-0.13,0.47,10.3
1479425730413689324,-0.13,0.51,10.2
1479425730423589144,-0.1,0.56,10.3
1479425730434281122,-0.11,0.6,9.81
1479425730443605749,-0.14,0.59,9.61
1479425730454566334,-0.16,0.57,9.81
1479425730464336383,-0.15,0.53,9.91
1479425730474007811,-0.1,0.49,10.2
1479425730484337517,-0.08,0.45,9.61
1479425730493727234,-0.09,0.44,9.32
1479425730503796094,-0.1,0.48,9.52
1479425730513881495,-0.1,0.53,9.61
1479425730523795536,-0.08,0.54,9.71
1479425730534356003,-0.06,0.53,9.42
1479425730544328782,-0.04,0.53,9.32
1479425730554707394,-0.01,0.54,9.81
1479425730564307158,0.0,0.55,9.81
1479425730574357927,-0.04,0.57,9.32
1479425730584330666,-0.09,0.57,8.93
1479425730594169153,-0.09,0.57,9.22
1479425730604318122,-0.01,0.57,9.81
1479425730614182299,0.08,0.58,9.61
1479425730624283779,0.14,0.59,9.52
1479425730634363319,0.13,0.59,9.42
1479425730644306108,0.09,0.59,9.71
1479425730654795674,0.07,0.59,9.61
1479425730664312160,0.06,0.6,9.52
1479425730674188495,0.01,0.59,9.61
1479425730684356822,-0.02,0.56,9.81
1479425730694313069,0.0,0.54,9.81
1479425730704475782,0.05,0.55,9.71
1479425730714417988,0.05,0.58,9.52
1479425730724357676,0.03,0.6,9.42
1479425730734476025,0.06,0.58,9.61
1479425730744356537,0.11,0.55,9.61
1479425730755182728,0.12,0.53,9.71
1479425730764385415,0.07,0.52,9.81
1479425730774455909,0.01,0.5,9.42
1479425730784562213,0.02,0.51,9.81
1479425730794444943,0.07,0.52,9.81
1479425730804479247,0.12,0.53,10.1
1479425730814630690,0.12,0.57,9.61
1479425730824576447,0.1,0.6,9.71
1479425730834883155,0.1,0.59,10.01
1479425730844610540,0.13,0.56,9.61
1479425730855345704,0.15,0.55,9.42
1479425730864774398,0.11,0.53,9.71
1479425730874688836,0.07,0.52,10.1
1479425730884646212,0.06,0.52,10.01
1479425730895094513,0.05,0.52,9.81
1479425730905047137,0.1,0.55,9.52
1479425730914920789,0.17,0.59,9.61
1479425730924733215,0.22,0.6,10.01
1479425730934809632,0.19,0.57,10.2
1479425730944853947,0.13,0.55,9.52
1479425730955688464,0.11,0.53,9.32
1479425730964880333,0.11,0.54,9.32
1479425730975183330,0.09,0.56,9.12
1479425730985041031,0.06,0.57,9.42
1479425730995098496,0.05,0.55,9.81
1479425731004945199,0.06,0.54,10.01
1479425731015199394,0.1,0.56,9.81
1479425731025033842,0.16,0.58,10.1
1479425731035088180,0.19,0.58,10.1
1479425731045362478,0.19,0.56,9.52
1479425731055847929,0.14,0.51,9.61
1479425731065100176,0.08,0.5,9.71
1479425731075159741,0.06,0.54,10.3
1479425731085170925,0.14,0.62,9.61
1479425731095222317,0.24,0.71,9.52
1479425731105218863,0.22,0.76,9.22
1479425731115406022,0.1,0.75,9.71
1479425731125293549,0.01,0.69,9.81
1479425731135235512,0.02,0.62,10.1
1479425731145287303,0.05,0.57,10.01
1479425731156062435,0.07,0.58,10.01
1479425731165387747,0.08,0.63,10.2
1479425731175652501,0.08,0.69,10.5
1479425731185412488,0.07,0.72,10.1
1479425731196153629,0.07,0.72,10.3
1479425731205451810,0.04,0.68,10.2
1479425731215652599,0.0,0.65,10.2
1479425731225454141,0.0,0.63,10.1
1479425731235570372,0.0,0.61,10.1
1479425731246754532,-0.04,0.59,10.3
1479425731256286414,-0.14,0.57,10.4
1479425731266654120,-0.22,0.57,10.59
1479425731275731160,-0.24,0.59,10.2
1479425731286654906,-0.22,0.62,10.2
1479425731295694131,-0.18,0.64,10.3
1479425731306805733,-0.17,0.64,10.4
1479425731316051898,-0.16,0.63,10.2
1479425731326779936,-0.13,0.61,9.81
1479425731336092117,-0.13,0.58,9.61
1479425731346859467,-0.17,0.6,9.81
1479425731356570378,-0.17,0.67,9.52
1479425731366843822,-0.11,0.72,9.81
1479425731375810215,-0.02,0.73,9.61
1479425731386825426,0.0,0.69,9.61
1479425731396360467,-0.05,0.66,9.71
1479425731406568825,-0.09,0.65,9.42
1479425731416133205,-0.04,0.66,9.42
1479425731426571493,0.02,0.65,9.12
1479425731436089107,0.02,0.64,9.52
1479425731446572365,0.01,0.65,9.52
1479425731456813849,0.06,0.71,9.42
1479425731466573520,0.1,0.76,9.32
1479425731476388320,0.1,0.78,9.22
1479425731486583499,0.09,0.76,8.93
1479425731496585161,0.09,0.71,9.22
1479425731506588816,0.09,0.68,9.22
1479425731516243343,0.12,0.66,9.02
1479425731526574763,0.13,0.65,9.32
1479425731536237760,0.14,0.7,9.61
1479425731546761346,0.16,0.79,9.12
1479425731557024139,0.17,0.86,9.22
1479425731566582425,0.16,0.85,9.42
1479425731576316975,0.14,0.8,9.42
1479425731586801255,0.15,0.75,9.52
1479425731596691716,0.17,0.71,9.61
1479425731606568798,0.16,0.66,9.42
1479425731616436818,0.12,0.65,9.71
1479425731626566552,0.1,0.68,9.71
1479425731636478771,0.1,0.74,9.71
1479425731646569554,0.1,0.77,9.91
1479425731657238577,0.1,0.75,9.71
1479425731666810706,0.07,0.69,9.81
1479425731676617081,0.06,0.66,9.91
1479425731686819874,0.06,0.65,10.01
1479425731696695215,0.07,0.65,10.4
1479425731706777528,0.07,0.63,10.4
1479425731716655725,0.07,0.63,10.2
1479425731726795842,0.1,0.66,10.1
1479425731736694003,0.1,0.69,10.1
1479425731747518625,0.06,0.68,10.5
1479425731757579488,0.0,0.63,10.2
1479425731767012952,0.0,0.59,10.3
1479425731776812978,0.0,0.59,10.4
1479425731787028976,0.02,0.6,10.2
1479425731796889204,0.06,0.6,10.2
1479425731807059279,0.07,0.58,10.1
1479425731816925495,0.05,0.57,10.4
1479425731827016689,0.05,0.57,10.5
1479425731837066799,0.08,0.6,10.2
1479425731847005919,0.16,0.62,9.71
1479425731857686695,0.23,0.6,9.71
1479425731867264320,0.26,0.54,10.3
1479425731877069682,0.24,0.49,10.3
1479425731887219518,0.22,0.47,10.1
1479425731897112673,0.22,0.46,10.1
1479425731907269193,0.2,0.49,10.2
1479425731917133657,0.17,0.55,10.2
1479425731927271999,0.17,0.6,9.81
1479425731937183251,0.21,0.62,9.71
1479425731947934315,0.23,0.6,9.81
1479425731958007552,0.23,0.56,10.1
1479425731967496171,0.25,0.53,10.1
1479425731977345247,0.34,0.54,9.81
1479425731987496253,0.49,0.57,9.71
1479425731997319586,0.59,0.58,9.81
1479425732007493033,0.57,0.58,10.3
1479425732017400565,0.45,0.59,10.1
1479425732028273199,0.31,0.62,10.2
1479425732037510176,0.21,0.63,9.81
1479425732048114335,0.22,0.59,9.12
1479425732058152922,0.32,0.54,9.32
1479425732067967030,0.42,0.48,9.81
1479425732077563088,0.48,0.45,9.42
1479425732087968467,0.47,0.45,9.42
1479425732097636384,0.41,0.48,10.1
1479425732107737260,0.35,0.54,9.91
1479425732117649926,0.31,0.59,9.22
1479425732127873714,0.3,0.58,9.91
1479425732137646097,0.31,0.5,10.01
1479425732148191928,0.32,0.41,10.3
1479425732158442291,0.3,0.37,10.3
1479425732168188966,0.3,0.37,10.1
1479425732178192858,0.36,0.41,9.61
1479425732188230631,0.38,0.48,9.32
1479425732197817345,0.38,0.54,9.12
1479425732208174276,0.37,0.56,9.71
1479425732217838462,0.33,0.55,9.71
1479425732228861967,0.28,0.54,9.61
1479425732237966959,0.26,0.52,9.61
1479425732248242944,0.25,0.51,9.61
1479425732258650932,0.29,0.5,9.32
1479425732268433788,0.37,0.47,9.42
1479425732278422130,0.4,0.44,9.91
1479425732288465961,0.38,0.42,10.2
1479425732298057951,0.38,0.42,9.81
1479425732308581059,0.43,0.47,9.52
1479425732318132767,0.45,0.51,9.32
1479425732329045582,0.4,0.53,9.52
1479425732338174029,0.34,0.51,9.81
1479425732348582123,0.33,0.46,9.52
1479425732358940882,0.35,0.4,9.32
1479425732368582940,0.33,0.35,9.22
1479425732378645754,0.26,0.34,9.52
1479425732388691537,0.21,0.41,9.12
1479425732398317775,0.24,0.5,9.22
1479425732408712036,0.31,0.51,9.61
1479425732418316881,0.36,0.46,9.71
1479425732428731308,0.35,0.42,9.61
1479425732438419718,0.26,0.42,9.52
1479425732448753861,0.2,0.44,9.32
1479425732459207661,0.2,0.45,9.32
1479425732468799617,0.21,0.43,10.1
1479425732478565853,0.22,0.42,10.2
1479425732488798976,0.25,0.45,9.71
1479425732498586484,0.27,0.5,9.81
1479425732508834428,0.27,0.5,9.22
1479425732518652054,0.27,0.46,8.63
1479425732528848262,0.2,0.45,9.32
1479425732538608908,0.12,0.45,9.52
1479425732549213422,0.12,0.43,10.01
1479425732559475543,0.13,0.4,9.91
1479425732568982926,0.09,0.4,9.81
1479425732578732669,0.05,0.43,10.01
1479425732589060633,0.04,0.48,10.2
1479425732599088971,0.06,0.47,10.2
1479425732609030185,0.07,0.42,10.5
1479425732618859075,0.09,0.36,10.4
1479425732629115890,0.09,0.35,10.3
1479425732638900831,0.06,0.35,10.3
1479425732649138740,0.04,0.38,9.81
1479425732659825461,0.02,0.45,9.91
1479425732669228567,0.0,0.52,10.01
1479425732679009267,0.0,0.57,10.1
1479425732689238697,0.03,0.58,10.4
1479425732698968101,0.04,0.55,10.1
1479425732709298022,-0.01,0.5,10.2
1479425732719281587,-0.11,0.44,10.5
1479425732729302757,-0.17,0.41,10.59
1479425732739102875,-0.14,0.4,10.3
1479425732749287665,-0.08,0.42,10.1
1479425732759947564,-0.05,0.46,10.4
1479425732769341748,-0.03,0.47,10.79
1479425732779238591,-0.04,0.48,10.69
1479425732789361780,-0.06,0.48,10.4
1479425732799442387,-0.08,0.47,10.01
1479425732809398546,-0.11,0.45,10.5
1479425732819286867,-0.15,0.42,10.79
1479425732829443826,-0.17,0.4,10.4
1479425732839468039,-0.17,0.41,10.1
1479425732849466998,-0.18,0.42,10.2
1479425732860282288,-0.19,0.45,10.3
1479425732869468063,-0.17,0.5,10.01
1479425732879622663,-0.11,0.55,9.81
1479425732889565455,-0.04,0.58,9.81
1479425732899578662,-0.01,0.56,9.71
1479425732909760695,-0.05,0.53,9.91
1479425732919568791,-0.07,0.51,9.61
1479425732929795429,-0.04,0.49,9.22
1479425732939610264,-0.01,0.47,9.81
1479425732949736556,0.0,0.45,10.2
1479425732960400459,0.04,0.49,9.71
1479425732969735684,0.12,0.54,9.71
1479425732979833408,0.17,0.56,9.42
1479425732990086879,0.12,0.53,9.61
1479425733000038587,0.03,0.51,9.42
1479425733009801762,-0.05,0.51,9.71
1479425733019922630,-0.09,0.49,9.42
1479425733029882586,-0.1,0.47,9.52
1479425733040067129,-0.1,0.46,9.52
1479425733050196006,-0.06,0.5,9.81
1479425733060794489,0.0,0.57,9.91
1479425733070208623,0.07,0.6,10.01
1479425733080253565,0.07,0.56,10.3
1479425733090016373,0.07,0.5,10.1
1479425733100468875,0.09,0.47,9.61
1479425733110046855,0.08,0.48,10.01
1479425733120065613,0.08,0.46,9.91
1479425733130105363,0.05,0.44,10.1
1479425733140072630,-0.03,0.46,10.3
1479425733150161606,-0.08,0.51,10.01
1479425733160901377,-0.02,0.56,9.91
1479425733170185448,0.04,0.57,10.01
1479425733180302348,0.01,0.54,9.71
1479425733190445607,-0.08,0.5,9.71
1479425733200427122,-0.17,0.46,9.71
1479425733210498909,-0.19,0.41,9.91
1479425733220301097,-0.15,0.37,10.01
1479425733230425768,-0.13,0.37,10.1
1479425733240430963,-0.11,0.4,10.4
1479425733250421409,-0.07,0.42,10.79
1479425733261114271,-0.01,0.44,10.69
1479425733270423854,0.05,0.48,10.2
1479425733280482928,0.08,0.47,9.91
1479425733290470336,0.02,0.41,10.4
1479425733300457229,-0.06,0.37,9.42
1479425733310486255,-0.1,0.36,9.12
1479425733320615157,-0.07,0.37,8.73
1479425733330580898,0.05,0.43,9.42
1479425733340649240,0.19,0.48,10.1
1479425733350604470,0.28,0.54,10.2
1479425733361645577,0.32,0.57,10.1
1479425733370651599,0.28,0.54,9.52
1479425733380669093,0.07,0.45,9.52
1479425733390687513,-0.16,0.37,8.83
1479425733400694003,-0.21,0.3,9.42
1479425733411056941,-0.11,0.23,10.4
1479425733420729052,-0.01,0.2,10.59
1479425733431345623,0.0,0.26,10.2
1479425733441297555,-0.01,0.4,9.52
1479425733451052136,0.0,0.53,9.02
1479425733462067883,0.07,0.58,9.32
1479425733471112253,0.12,0.5,9.61
1479425733481487923,0.06,0.37,9.71
1479425733491153380,-0.06,0.28,9.81
1479425733501425338,-0.12,0.26,10.01
1479425733511214118,-0.01,0.31,9.22
1479425733521465521,0.12,0.41,9.22
1479425733531488690,0.18,0.49,9.12
1479425733541485619,0.17,0.51,9.12
1479425733551215883,0.12,0.49,9.22
1479425733562196822,0.04,0.48,9.71
1479425733571364518,0.0,0.49,9.32
1479425733581439732,-0.03,0.5,9.52
1479425733591231135,-0.09,0.45,9.02
1479425733601736181,-0.12,0.36,9.22
1479425733611238841,-0.06,0.3,9.22
1479425733621464222,0.01,0.3,10.01
1479425733631480751,0.07,0.35,9.71
1479425733641468395,0.09,0.41,9.61
1479425733651299102,0.07,0.47,9.71
1479425733662198018,0.05,0.5,9.61
1479425733671443091,0.0,0.51,9.52
1479425733681470207,-0.06,0.48,9.61
1479425733691564983,-0.08,0.41,9.91
1479425733701432873,-0.05,0.35,9.81
1479425733711739720,0.04,0.33,9.81
1479425733721692880,0.15,0.38,9.71
1479425733731572419,0.22,0.43,9.91
1479425733741495116,0.2,0.45,9.91
1479425733751572170,0.14,0.43,10.3
1479425733762333003,0.06,0.39,10.2
1479425733771612412,0.0,0.38,10.3
1479425733781768790,-0.01,0.37,10.3
1479425733791693841,-0.01,0.35,10.4
1479425733801653873,0.0,0.35,10.2
1479425733811742261,0.03,0.37,10.3
1479425733821742793,0.08,0.4,10.2
1479425733831779658,0.11,0.4,10.3
1479425733842094343,0.12,0.38,10.59
1479425733851809910,0.1,0.38,10.4
1479425733862567339,0.04,0.38,10.3
1479425733871854023,-0.02,0.36,10.3
1479425733881857283,-0.07,0.34,10.5
1479425733891884764,-0.07,0.33,10.2
1479425733901928406,-0.05,0.33,10.3
1479425733912064379,-0.02,0.35,10.4
1479425733922012383,-0.01,0.36,10.3
1479425733932024398,0.02,0.36,10.4
1479425733942044182,0.11,0.37,10.3
1479425733952018236,0.13,0.36,9.81
1479425733963024358,0.0,0.35,9.91
1479425733972114316,-0.16,0.31,9.61
1479425733982151227,-0.23,0.27,9.52
1479425733992297417,-0.21,0.26,9.42
1479425734002184915,-0.21,0.28,9.81
1479425734012219830,-0.24,0.33,10.01
1479425734022192159,-0.17,0.37,9.52
1479425734032320161,-0.04,0.39,9.42
1479425734042262754,0.04,0.39,9.52
1479425734052863600,0.01,0.38,9.22
1479425734063239383,-0.07,0.35,9.32
1479425734072606789,-0.14,0.3,9.42
1479425734082347391,-0.15,0.25,9.42
1479425734092381901,-0.08,0.25,9.32
1479425734102691944,0.01,0.31,9.42
1479425734112582077,0.12,0.39,9.52
1479425734122569203,0.18,0.44,9.61
1479425734132466473,0.2,0.45,9.61
1479425734142720933,0.22,0.44,9.42
1479425734152772079,0.2,0.4,9.22
1479425734163292371,0.14,0.35,9.22
1479425734173010844,0.06,0.31,9.32
1479425734182570953,0.03,0.29,9.42
1479425734193111533,0.03,0.32,9.52
1479425734202881260,0.06,0.37,9.42
1479425734213125879,0.11,0.42,9.71
1479425734222859174,0.2,0.43,9.81
1479425734232898911,0.26,0.41,10.01
1479425734242960335,0.24,0.33,9.91
1479425734253114887,0.13,0.25,10.1
1479425734263698182,0.01,0.17,10.69
1479425734272946635,-0.01,0.13,10.5
1479425734282927049,0.03,0.14,10.5
1479425734292923670,0.08,0.18,10.4
1479425734302854699,0.08,0.24,10.3
1479425734313044724,0.05,0.25,10.2
1479425734322995448,0.01,0.22,10.4
1479425734333016332,-0.03,0.18,10.69
1479425734343462096,-0.06,0.15,10.69
1479425734353185172,-0.08,0.14,10.69
1479425734363881435,-0.1,0.15,10.4
1479425734373443104,-0.1,0.14,10.4
1479425734383150974,-0.08,0.1,10.69
1479425734393341506,-0.04,0.08,10.59
1479425734403236082,0.01,0.1,10.4
1479425734413669986,0.05,0.12,10.5
1479425734423366804,0.04,0.15,10.2
1479425734433444388,-0.03,0.16,10.1
1479425734443570574,-0.1,0.15,10.2
1479425734453255854,-0.13,0.11,10.2
1479425734464029937,-0.1,0.08,10.2
1479425734473861367,-0.07,0.06,10.01
1479425734484088353,-0.08,0.1,9.91
1479425734493362802,-0.1,0.16,9.42
1479425734503364038,-0.05,0.17,9.81
1479425734513863564,0.04,0.13,10.4
1479425734523880076,0.11,0.09,10.2
1479425734533694018,0.1,0.07,10.2
1479425734543566301,0.04,0.08,9.71
1479425734554066157,-0.01,0.08,9.42
1479425734564419275,-0.05,0.08,9.42
1479425734573577843,-0.06,0.06,9.91
1479425734583904168,-0.04,0.09,9.61
1479425734593608929,0.0,0.13,10.1
1479425734604102660,0.05,0.13,9.61
1479425734613885436,0.08,0.12,9.42
1479425734623931464,0.06,0.11,9.42
1479425734634135085,0.0,0.1,9.42
1479425734643922257,-0.04,0.07,9.71
1479425734653956500,0.0,0.04,9.81
1479425734664484337,0.1,0.04,9.81
1479425734673912205,0.17,0.08,9.42
1479425734683922657,0.14,0.14,9.42
1479425734693841175,0.06,0.17,9.52
1479425734704068329,0.04,0.15,9.52
1479425734714185739,0.07,0.08,9.61
1479425734724334640,0.07,0.03,9.91
1479425734734182506,0.05,0.0,9.71
1479425734743960203,0.01,-0.03,9.71
1479425734754112468,-0.01,-0.04,9.71
1479425734764740130,0.0,0.0,9.71
1479425734774436781,0.01,0.03,9.52
1479425734784277753,0.04,0.05,10.01
1479425734794192039,0.06,0.05,9.91
1479425734804083799,0.08,0.04,9.61
1479425734814133519,0.06,0.04,9.71
1479425734824252028,0.0,0.04,9.52
1479425734834436166,-0.04,0.02,9.61
1479425734844471643,-0.07,0.0,9.42
1479425734854341231,-0.09,-0.02,9.61
1479425734864933140,-0.07,0.0,9.61
1479425734874289532,-0.04,0.03,10.1
1479425734884335950,-0.01,0.07,9.81
1479425734894337883,0.01,0.08,9.61
1479425734904339669,0.04,0.06,9.71
1479425734914849274,0.02,0.02,9.61
1479425734924396778,-0.03,-0.03,9.42
1479425734934413374,-0.09,-0.08,9.81
1479425734944610611,-0.12,-0.13,10.01
1479425734954581802,-0.11,-0.13,10.2
1479425734965341593,-0.07,-0.09,10.3
1479425734974662896,-0.01,-0.03,10.01
1479425734984986702,0.04,0.0,10.1
1479425734994568903,0.07,0.01,9.81
1479425735004602718,0.04,0.02,9.91
1479425735014655247,-0.03,0.0,9.81
1479425735024667873,-0.11,-0.05,9.91
1479425735034662399,-0.1,-0.11,10.5
1479425735044735278,0.0,-0.13,10.4
1479425735055097834,0.07,-0.11,9.91
1479425735065447395,0.08,-0.05,10.01
1479425735074808546,0.06,-0.01,9.81
1479425735084815078,0.03,-0.01,10.01
1479425735095162534,0.0,-0.04,10.2
1479425735104922871,-0.01,-0.08,10.01
1479425735115387410,0.0,-0.1,9.91
1479425735124905834,0.01,-0.12,10.1
1479425735135133653,0.04,-0.14,10.01
1479425735144922420,0.05,-0.14,9.71
1479425735155051148,0.04,-0.1,9.81
1479425735166567280,0.0,-0.03,10.1
1479425735175101952,-0.01,0.0,9.91
1479425735184986538,0.0,-0.01,9.91
1479425735195311937,0.01,-0.05,10.1
1479425735205084841,0.0,-0.09,10.01
1479425735215091614,-0.02,-0.1,9.91
1479425735225076129,-0.03,-0.1,10.01
1479425735235192884,-0.01,-0.11,10.4
1479425735245174400,0.0,-0.09,9.61
1479425735255198235,0.0,-0.07,10.01
1479425735266641952,-0.02,-0.05,10.01
1479425735275192042,-0.05,-0.01,9.71
1479425735285294225,-0.07,0.02,9.71
1479425735295428975,-0.08,0.05,10.01
1479425735305311109,-0.06,0.06,9.71
1479425735315339489,-0.06,0.05,9.32
1479425735325362878,-0.1,0.04,9.81
1479425735335381070,-0.12,0.02,9.61
1479425735345412564,-0.11,0.0,9.71
1479425735355466227,-0.07,0.03,9.52
1479425735366882176,-0.05,0.08,9.52
1479425735375468818,-0.07,0.11,9.71
1479425735385502149,-0.08,0.11,9.52
1479425735395811539,-0.09,0.07,9.81
1479425735405586517,-0.11,0.03,10.1
1479425735415890875,-0.13,0.02,9.81
1479425735425590567,-0.15,0.03,9.61
1479425735435596416,-0.16,0.05,10.01
1479425735446652046,-0.12,0.08,9.91
1479425735455872075,-0.06,0.13,9.61
1479425735467141681,-0.06,0.15,9.71
1479425735475857004,-0.09,0.14,9.81
1479425735486582750,-0.13,0.14,9.71
1479425735495792852,-0.17,0.15,9.81
1479425735506596869,-0.2,0.16,9.61
1479425735515849452,-0.22,0.18,9.52
1479425735526614560,-0.25,0.18,9.81
1479425735535885923,-0.27,0.15,9.52
1479425735546619351,-0.25,0.14,9.81
1479425735556156885,-0.19,0.16,9.81
1479425735567346356,-0.18,0.21,9.91
1479425735576118468,-0.21,0.25,9.81
1479425735586577209,-0.22,0.26,9.52
1479425735596137629,-0.2,0.24,9.81
1479425735606583977,-0.18,0.2,9.91
1479425735616076790,-0.2,0.18,9.61
